,Unnamed: 0,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,valence,year;
166454,10886,0.259,['Five For Fighting'],0.47,246600,0.6779999999999999,0,57PHqrPsX6E7OX9LeKSo9Q,0.0,4,0.204,-8.017999999999999,1,Easy Tonight,40,2000-09-26,0.0587,84.84299999999998,0.24,2000;
166455,10887,0.6779999999999999,['Craig Morgan'],0.579,187067,0.301,0,78fea7TlOR653bI5x0m9aU,0.0,3,0.11599999999999999,-9.014,1,I Want Us Back,35,2000-05-23,0.0249,75.749,0.257,2000;
166456,10888,0.43,['Tullycraft'],0.4970000000000001,183440,0.5479999999999999,0,7kbvZI5tnmk2ofhBuOB3rt,0.14800000000000002,0,0.11900000000000001,-12.384,1,Superboy & Supergirl,44,2000,0.0669,137.224,0.6,2000;
166457,10889,0.7959999999999999,['Zariz'],0.7909999999999999,159720,0.278,0,2lD4IvKSvSYqWyM4QyRFSZ,0.78,5,0.0852,-13.606,1,Los Sonidos del Silencio,48,2000,0.0348,100.066,0.706,2000;
166458,10890,0.0298,['At The Drive In'],0.305,207160,0.9940000000000001,0,3S59EdH9sqkEewzw9ucbna,0.0,7,0.35200000000000004,-2.593,1,Sleepwalk Capsules,35,2000,0.19899999999999998,163.02100000000004,0.29,2000;
166459,10891,0.00562,['Bright Eyes'],0.39299999999999996,213600,0.466,0,7eUVluJU03fnTuCcNC8ITH,0.00025499999999999996,0,0.0897,-8.162,1,Something Vague,36,2000-05-29,0.0331,136.939,0.174,2000;
166460,10892,0.00421,['Flogging Molly'],0.466,174920,0.9620000000000001,0,2durL0niNTiZPum90mzm0a,0.000335,7,0.0969,-5.416,1,Selfish Man,38,2000-03-07,0.0614,134.166,0.875,2000;
166461,10893,0.006509999999999999,['blink-182'],0.34,198267,0.9570000000000001,1,2wwSdRBz6NUfpZKqFcVJiD,0.0,8,0.326,-5.525,1,What's My Age Again? - Live/1999,40,2000,0.207,168.16099999999997,0.41100000000000003,2000;
166462,10894,0.23,['Blue October'],0.57,229973,0.879,0,6QQ0Ulwtg0EY0UpR9cEqp9,7.07e-06,7,0.129,-6.449,1,Balance Beam,35,2000-01-01,0.0379,100.291,0.752,2000;
166463,10895,0.665,['Nickel Creek'],0.677,248640,0.11699999999999999,0,5w0RYb50fUlvw2hDg3VTOQ,0.000328,1,0.0759,-16.104,1,Reasons Why,34,2000,0.0421,150.852,0.29600000000000004,2000;
"166464,10896,0.0426,""['Ludacris', 'Pharrell Williams']"",0.618,300920,0.892,0,6tJxCYU6HUN40FZ0gwPaCU,0.0,0,0.0846,-4.774,1,Southern Hospitality,34,2000-01-01,0.252,94.954,0.629,2000";
166465,10897,0.9209999999999999,['Mark Schultz'],0.21,251107,0.23,0,0LWoeBgC5BJEGJLtEwArax,0.0,1,0.11900000000000001,-8.987,1,Remember Me,35,2000-03-28,0.0305,79.453,0.165,2000;
166466,10898,0.125,['Amr Diab'],0.721,244651,0.799,0,0iHyLzEeCcu19aEC2M3o5M,4.620000000000001e-05,3,0.366,-7.9979999999999976,0,El Alem Allah,49,2000-01-01,0.0392,107.88600000000001,0.7709999999999999,2000;
166467,10899,0.0404,['Banda Bostik'],0.547,254467,0.863,0,4BcyzKRntkAaECtW1iZlcO,2.31e-06,4,0.0527,-7.75,1,Viajero,46,2000,0.13,147.907,0.654,2000;
166468,10900,0.16899999999999998,['OutKast'],0.524,264707,0.547,0,4Dlz76O4yMvFdYsKRfBEdK,4.370000000000001e-05,1,0.0433,-8.288,1,Toilet Tisha,37,2000-10-31,0.0403,54.66,0.826,2000;
166469,10901,0.0044399999999999995,['blink-182'],0.391,220507,0.932,1,1ROAJW0LOwIpPmpQHR1R7q,0.0,11,0.948,-4.828,1,Going Away To College - Live/1999,39,2000,0.126,119.91799999999999,0.503,2000;
166470,10902,0.675,['Banda La Costeña'],0.637,146933,0.473,0,2LP5OHlRavQURHoOefy9vj,1.06e-05,0,0.341,-4.801,1,Domingo Corrales,33,2000-11-21,0.0446,134.55,0.975,2000;
166471,10903,1.47e-05,['In Flames'],0.479,281840,0.892,0,3lkuAZEmDzQ7u21bEGGv8Q,0.7879999999999999,0,0.314,-5.4220000000000015,0,Bullet Ride,46,2000-07-03,0.0819,92.039,0.375,2000;
"166472,10904,0.711,""['Deltron 3030', 'Del The Funky Homosapien', 'Dan The Automator', 'Kid Koala']"",0.442,250373,0.47200000000000003,0,1vQUA54snqF8dNZsuxVPTo,0.0,10,0.124,-11.575999999999999,0,Upgrade (A Baymar College College),36,2000,0.292,88.929,0.606,2000";
"166473,10905,0.9129999999999999,['Jim Carrey'],0.767,40427,0.562,0,2DiigAaUTD8W3CJ4q1S5PX,0.0,4,0.23399999999999999,-14.952,1,""Grinch Schedule - From """"Dr. Seuss' How The Grinch Stole Christmas"""" Soundtrack"",34,2000-01-01,0.643,106.96,0.0711,2000";
166474,10906,0.000732,['Eve 6'],0.603,185867,0.915,1,2L50S184moxNmEiJe00zzP,0.0,2,0.363,-4.8660000000000005,1,On The Roof Again,35,2000,0.0486,124.12899999999999,0.7959999999999999,2000;
166475,10907,0.5579999999999999,['Jesús Adrián Romero'],0.507,426507,0.354,0,52tjuUrAxjy7yJ4dXN7MG0,2.08e-05,3,0.85,-11.205,0,Con Manos Vacias,44,2000-06-20,0.0256,101.698,0.0781,2000;
166476,10908,0.00082,['D-Devils'],0.8009999999999999,286130,0.9109999999999999,0,5hc8WqSlO3UCbKgV0Wi7EV,0.5710000000000001,4,0.113,-5.4979999999999976,1,The 6th Gate (Dance With the Devil) - Original Extended,49,2000,0.092,138.81,0.153,2000;
166477,10909,0.152,['Joe'],0.615,232200,0.535,0,5Ie2Ef5DBx9QZbXRAbIbk9,0.0,9,0.095,-7.99,0,Stutter,37,2000-04-18,0.0502,87.042,0.611,2000;
"166478,10910,0.0209,""['Big Pokey', 'Mike D', 'Will Lean', 'Mafia Mike', 'Chris Ward']"",0.659,327200,0.7140000000000001,1,70HvjzRKDWns8CzoMfGXaJ,0.0,8,0.191,-6.553999999999999,0,Keep My Name out Yo Mouth,33,2000-10-31,0.3720000000000001,143.988,0.635,2000";
166479,10911,0.0888,['Andre Nickatina'],0.731,278520,0.523,1,0HPAknhFOv5nZL4kIVpzGd,0.0,0,0.0643,-8.333,0,Saw A Gangsta Cry,34,2000-11-07,0.38299999999999995,120.992,0.7,2000;
166480,10912,0.715,['Frank Sinatra'],0.45299999999999996,174867,0.233,0,3G2lWP5eg517FkJNt887cf,0.0,10,0.11800000000000001,-13.106,0,I Get A Kick Out Of You - Remastered,42,2000-01-01,0.0331,143.745,0.617,2000;
166481,10913,0.57,['R. Kelly'],0.71,274040,0.682,0,3kxRnmm1GQRyVgrodjANlB,1.05e-05,9,0.0843,-6.728,0,Like a Real Freak,35,2000-11-07,0.11199999999999999,83.917,0.56,2000;
166482,10914,0.00122,['Sunny Day Real Estate'],0.488,362960,0.778,0,5KPhsNfpwNSVAXclO4u5P6,0.0233,9,0.0808,-6.6770000000000005,1,Faces In Disguise,38,2000-06-20,0.027999999999999997,105.001,0.257,2000;
166483,10915,0.264,['Junior Kelly'],0.713,240053,0.608,0,0ks5sXa1iEMvtVbYOsfiNq,0.0,9,0.0731,-6.3389999999999995,1,Love So Nice,42,2000-11-17,0.175,80.505,0.787,2000;
166484,10916,0.253,['Ten Feet'],0.66,257613,0.479,0,19gFsbbcnjo5dwtwAtrPFD,0.0,2,0.109,-9.615,1,Islands in the Stream,34,2000-01-01,0.045,181.894,0.652,2000;
166485,10917,0.00013000000000000002,['blink-182'],0.426,223587,0.9840000000000001,1,6n9U8F0FYH5p0kekKJD55G,5.68e-05,11,0.68,-5.007,1,Aliens Exist - Live/1999,39,2000,0.111,123.21,0.317,2000;
166486,10918,0.21899999999999997,['Los Amigos Invisibles'],0.7979999999999999,259453,0.8240000000000001,0,0tFuTobynZI2CKdzXQ6v6V,0.0463,11,0.0924,-7.178999999999999,1,La Vecina,47,2000,0.0407,116.00200000000001,0.925,2000;
"166487,10919,0.5720000000000001,['Sting'],0.414,278427,0.3670000000000001,0,3VNVHB1pa63RIokenb7EKt,2.8800000000000002e-05,2,0.106,-14.343,1,""My Funny Friend and Me - From """"The Emperor's New Groove""""/Soundtrack Version"",39,2000-11-14,0.0378,80.382,0.29,2000";
166488,10920,0.0537,['Faster Pussycat'],0.556,249933,0.929,0,4gHCdsMCEjDbHT77tstgcl,2.39e-06,0,0.29,-9.588,1,You're so Vain,37,2000-06-20,0.0461,128.093,0.7440000000000001,2000;
